Control ID,Control Name,CCI,CCI Definition,Status,Risk Level,Assessment Date,Assessor,Comments
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-002278,Defines the security attributes for which the association and integrity to organization-defined subjects and objects is maintained.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-002279,Defines the subjects for which the association and integrity of organization-defined security attributes is maintained.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-002280,Defines the objects for which the association and integrity of organization-defined security attributes is maintained.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-002281,Maintain the association of organization-defined security attributes to organization-defined subjects.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-002282,Maintain the association of organization-defined security attributes to organization-defined objects.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-002283,Maintain the integrity of organization-defined security attributes associated with organization-defined subjects.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-002284,Maintain the integrity of organization-defined security attributes associated with organization-defined objects.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-003717,Defines the privacy attributes for which the association and integrity to organization-defined subjects and objects is maintained.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-003718,Maintain the association of organization-defined privacy attributes to organization-defined subjects.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-003719,Maintain the association of organization-defined privacy attributes to organization-defined objects.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-003720,Maintain the integrity of organization-defined privacy attributes associated with organization-defined subjects.,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,CCI-003721,Maintain the integrity of organization-defined privacy attributes associated with organization-defined objects.,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-002286,Defines the subjects with which organization-defined security attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-002287,Defines the objects with which organization-defined security attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-002288,Defines the security attributes authorized individuals (or processes acting on behalf of individuals) are permitted to associate with organization-defined subjects and objects.,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-002289,Provide the capability to associate organization-defined security attributes with organization-defined subjects by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-002290,Provide the capability to associate organization-defined security attributes with organization-defined objects by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-003722,Defines the subjects with which organization-defined privacy attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-003723,Defines the objects with which organization-defined privacy attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,CCI-003724,Defines the privacy attributes authorized individuals (or processes acting on behalf of individuals) are permitted to associate with organization-defined subjects and objects.,,,,,
